URL,Size(Bytes),#Outlinks,Type
https://www.nytimes.com/sitemap/1949/10/,82623,64,text/html
https://www.nytimes.com/sitemap/1949/12/,82666,64,text/html
https://www.nytimes.com/wirecutter/reviews/best-usb-c-macbook-and-laptop-chargers/,669287,763,text/html
https://www.nytimes.com/wirecutter/reviews/travel-guide/,1048576,877,text/html
https://www.nytimes.com/wirecutter/reviews/best-air-conditioner/,721179,742,text/html
https://www.nytimes.com/wirecutter/reviews/the-best-shower-head/,625078,717,text/html
https://www.nytimes.com/wirecutter/gifts/kids/,419604,673,text/html
https://www.nytimes.com/wirecutter/reviews/best-cat-beds/,528678,703,text/html
https://www.nytimes.com/wirecutter/reviews/the-best-shower-curtain/,635944,726,text/html
https://www.nytimes.com/wirecutter/reviews/best-fan/,767505,751,text/html
https://www.nytimes.com/wirecutter/reviews/the-best-home-security-system/,801985,777,text/html
https://www.nytimes.com/wirecutter/reviews/best-multitool/,780406,755,text/html
https://www.nytimes.com/wirecutter/reviews/best-photo-inkjet-printer/,503456,688,text/html
https://www.nytimes.com/wirecutter/reviews/best-condoms/,656516,741,text/html
https://www.nytimes.com/wirecutter/reviews/best-face-sunscreens/,776770,783,text/html
https://www.nytimes.com/wirecutter/reviews/best-french-press/,631906,722,text/html
https://www.nytimes.com/wirecutter/reviews/best-running-shoes/,890059,805,text/html
https://www.nytimes.com/wirecutter/masthead/,369897,703,text/html
https://www.nytimes.com/wirecutter/reviews/best-portable-monitor/,537052,695,text/html
https://www.nytimes.com/wirecutter/reviews/best-beach-umbrellas-chairs-and-accessories/,894472,832,text/html
https://www.nytimes.com/wirecutter/lists/cleaning-organizing-picks/,630661,980,text/html
https://www.nytimes.com/wirecutter/reviews/best-baby-swings/,526435,712,text/html
https://www.nytimes.com/wirecutter/reviews/best-cloth-diapers/,609954,713,text/html
https://www.nytimes.com/wirecutter/reviews/best-baby-bathtubs-and-bath-seats/,586081,708,text/html
https://www.nytimes.com/wirecutter/office/home-office/,475258,697,text/html
https://www.nytimes.com/wirecutter/reviews/best-umbrella-strollers/,479314,681,text/html
https://www.nytimes.com/wirecutter/reviews/best-pillow-for-side-sleepers/,474624,672,text/html
https://www.nytimes.com/wirecutter/reviews/best-oled-tv/,573396,700,text/html
https://www.nytimes.com/wirecutter/reviews/best-clothes-iron/,540328,686,text/html
https://www.nytimes.com/wirecutter/reviews/best-monitors/,445175,677,text/html
https://www.nytimes.com/wirecutter/reviews/best-toiletry-bags/,554846,709,text/html
https://www.nytimes.com/wirecutter/gifts/best-gifts-for-teens/,595600,759,text/html
https://www.nytimes.com/wirecutter/reviews/the-best-pico-projector/,526896,695,text/html
https://www.nytimes.com/wirecutter/reviews/our-favorite-baby-proofing-tools/,413005,675,text/html
https://www.nytimes.com/wirecutter/reviews/best-lego-sets-for-kids/,601136,734,text/html
https://www.nytimes.com/wirecutter/reviews/the-best-hard-cooler/,578192,717,text/html
https://www.nytimes.com/wirecutter/reviews/best-wireless-mouse/,683097,761,text/html
https://www.nytimes.com/wirecutter/reviews/best-colored-pencils/,594162,708,text/html
https://www.nytimes.com/wirecutter/reviews/best-laptop-stands/,627929,718,text/html
https://www.nytimes.com/wirecutter/reviews/best-office-chair/,744886,745,text/html
https://www.nytimes.com/wirecutter/reviews/best-password-managers/,678510,787,text/html
https://www.nytimes.com/wirecutter/reviews/best-small-tv/,577280,712,text/html
https://www.nytimes.com/wirecutter/reviews/best-touchscreen-gloves/,657283,724,text/html
https://www.nytimes.com/wirecutter/reviews/best-standing-desk/,636716,725,text/html
https://www.nytimes.com/wirecutter/pets/,431262,685,text/html
https://www.nytimes.com/wirecutter/reviews/best-pet-camera/,611794,724,text/html
https://www.nytimes.com/wirecutter/reviews/best-espresso-machine-grinder-and-accessories-for-beginners/,822524,755,text/html
https://www.nytimes.com/wirecutter/reviews/best-water-fountain-for-cats-and-dogs/,629374,699,text/html
https://www.nytimes.com/wirecutter/gifts/best-toys-gifts-for-6-year-olds/,780769,766,text/html
https://www.nytimes.com/wirecutter/gifts/best-gifts-toys-for-2-year-olds/,784307,787,text/html
https://www.nytimes.com/wirecutter/reviews/best-wi-fi-router/,687247,752,text/html
https://www.nytimes.com/wirecutter/contact-us/,295666,634,text/html
https://www.nytimes.com/2023/09/28/us/hawaii-army-schofield-barracks-lockdown.html,197519,40,text/html
https://www.nytimes.com/2023/09/28/us/politics/desantis-debate-republican.html,282968,56,text/html
https://www.nytimes.com/2023/10/01/arts/music/celebrate-van-zweden-ny-philharmonic.html,220117,50,text/html
https://www.nytimes.com/2023/09/25/world/europe/london-police-murder-chris-kaba.html,207762,45,text/html
https://www.nytimes.com/2023/09/29/pageoneplus/quotation-of-the-day-ghost-guns-found-at-a-day-care-site-officials-say.html,154228,37,text/html
https://www.nytimes.com/issue/todaysheadlines/2023/09/26/todays-headlines,632175,74,text/html
https://www.nytimes.com/2023/09/29/books/review/benjamin-labatut-the-maniac.html,222032,52,text/html
https://www.nytimes.com/2023/09/29/crosswords/wordle-review-answer-832.html,223375,43,text/html
https://www.nytimes.com/2023/09/27/podcasts/headlines-nyt-audio-app.html,257649,77,text/html
https://www.nytimes.com/2023/09/29/learning/do-we-need-better-music-education.html,220631,43,text/html
https://www.nytimes.com/2023/09/25/travel/fall-leaves-autumn-foliage.html,259777,80,text/html
https://www.nytimes.com/2023/09/27/briefing/russian-admiral-nagorno-karabakh-explosion.html,254787,70,text/html
https://www.nytimes.com/2023/09/26/us/pava-lepere-baltimore-tech-ceo-dead.html,199711,41,text/html
https://www.nytimes.com/article/how-to-build-muscle.html,385747,55,text/html
https://www.nytimes.com/2023/09/25/technology/chatgpt-talk-digital-assistance.html,227884,57,text/html
https://www.nytimes.com/2023/09/28/realestate/catskills-artists-retreat-for-sale.html,229393,39,text/html
https://www.nytimes.com/2023/09/26/arts/taylor-swift-travis-kelce-dating.html,221225,57,text/html
https://www.nytimes.com/by/emiliano-rodriguez-mega,593677,58,text/html
https://www.nytimes.com/2023/09/30/books/review/diana-helmuth-allyson-shaw-my-witching-year-ashes-and-stones.html,214601,41,text/html
https://www.nytimes.com/video/world/asia/100000009103248/nagorno-karabakh-explosion-armenia-azerbaijan.html,1048576,101,text/html
https://www.nytimes.com/2023/06/26/nyregion/nyc-congestion-pricing.html,217380,56,text/html
https://www.nytimes.com/2023/09/30/nyregion/climate-change-flooding-storms.html,232432,51,text/html
https://www.nytimes.com/sitemap/1852/07/,80713,59,text/html
https://www.nytimes.com/sitemap/1852/09/,80864,59,text/html
https://www.nytimes.com/sitemap/1852/02/,80109,57,text/html
https://www.nytimes.com/sitemap/1852/04/,80736,59,text/html
https://www.nytimes.com/sitemap/1852/10/,80807,59,text/html
https://www.nytimes.com/sitemap/1852/12/,81205,60,text/html
https://www.nytimes.com/2023/09/26/business/media/new-york-public-radio-job-cuts-wnyc.html,192485,39,text/html
https://www.nytimes.com/2023/10/01/opinion/volunteering-supplies-ukraine-military.html,220160,57,text/html
